"","StartDate","SiteID","Latitude","Longitude","Elevation","AphidCount","Julian_Day","Aphids_DD","New_hidro","dl","dlD","CumAphid","PrAphid"
"32",2019-05-10,"Colfax Highway",46.73397,-117.20542,782,0,130,228.338670285119,16.52493,14.6108277777778,14.6108277777778,0,0
"33",2019-05-14,"Colfax Highway",46.73397,-117.20542,782,0,134,272.093670285119,16.52493,14.7829277777778,14.7829277777778,0,0
"34",2019-05-18,"Colfax Highway",46.73397,-117.20542,782,0,138,300.158670285119,16.52493,14.9435111111111,14.9435111111111,0,0
"35",2019-05-22,"Colfax Highway",46.73397,-117.20542,782,0,142,325.418655518794,16.52493,15.0911805555556,15.0911805555556,0,0
"36",2019-05-26,"Colfax Highway",46.73397,-117.20542,782,0,146,357.488655518794,16.52493,15.2245333333333,15.2245333333333,0,0
"37",2019-05-30,"Colfax Highway",46.73397,-117.20542,782,0,150,401.108655518794,16.52493,15.3421777777778,15.3421777777778,0,0
"38",2019-06-03,"Colfax Highway",46.73397,-117.20542,782,0,154,457.019056394781,16.52493,15.4427972222222,15.4427972222222,0,0
"39",2019-06-07,"Colfax Highway",46.73397,-117.20542,782,0,158,489.140703101028,16.52493,15.5251916666667,15.5251916666667,0,0
"40",2019-06-11,"Colfax Highway",46.73397,-117.20542,782,0,162,528.684129937155,16.52493,15.5883138888889,15.5883138888889,0,0
"41",2019-06-15,"Colfax Highway",46.73397,-117.20542,782,0,166,586.831596441055,16.52493,15.6313333333333,15.6313333333333,0,0
"42",2019-06-19,"Colfax Highway",46.73397,-117.20542,782,0,170,639.845127225384,16.52493,15.6536611111111,15.6536611111111,0,0
"43",2019-06-23,"Colfax Highway",46.73397,-117.20542,782,0,174,670.810127225384,16.52493,15.6549888888889,15.6549888888889,0,0
"44",2019-06-27,"Colfax Highway",46.73397,-117.20542,782,2,178,708.040127225384,16.52493,15.6352972222222,15.6746805555556,0.0740740740740741,0.0740740740740741
"45",2019-07-01,"Colfax Highway",46.73397,-117.20542,782,0,182,754.31916700427,16.52493,15.5948611111111,15.7151166666667,0.0740740740740741,0
"46",2019-07-05,"Colfax Highway",46.73397,-117.20542,782,0,186,802.601934403112,16.52493,15.5342305555556,15.7757472222222,0.0740740740740741,0
"47",2019-07-09,"Colfax Highway",46.73397,-117.20542,782,1,190,850.911934403112,16.52493,15.4542138888889,15.8557638888889,0.111111111111111,0.037037037037037
"48",2019-07-13,"Colfax Highway",46.73397,-117.20542,782,4,194,912.795872895509,16.52493,15.3558305555556,15.9541472222222,0.259259259259259,0.148148148148148
"49",2019-07-18,"Colfax Highway",46.73397,-117.20542,782,0,199,976.815872895509,16.52493,15.2088333333333,16.1011444444444,0.259259259259259,0
"50",2019-07-22,"Colfax Highway",46.73397,-117.20542,782,0,203,1027.29306986402,16.52493,15.0736333333333,16.2363444444444,0.259259259259259,0
"51",2019-07-26,"Colfax Highway",46.73397,-117.20542,782,20,207,1084.79477384666,16.52493,14.9242861111111,16.3856916666667,1,0.740740740740741
"52",2019-07-30,"Colfax Highway",46.73397,-117.20542,782,0,211,1141.05260779245,16.52493,14.7622,16.5477777777778,1,0
"73",2019-05-10,"Nisqually Canyon",46.514,-117.22914,422,0,130,342.878078465154,0.52403313,14.5891527777778,14.5891527777778,0,0
"74",2019-05-14,"Nisqually Canyon",46.514,-117.22914,422,0,134,394.753007656078,0.52403313,14.7596944444444,14.7596944444444,0,0
"75",2019-05-18,"Nisqually Canyon",46.514,-117.22914,422,0,138,434.363007656078,0.52403313,14.9188,14.9188,0,0
"76",2019-05-22,"Nisqually Canyon",46.514,-117.22914,422,0,142,469.768007656078,0.52403313,15.0650916666667,15.0650916666667,0,0
"77",2019-05-26,"Nisqually Canyon",46.514,-117.22914,422,0,146,512.358007656078,0.52403313,15.197175,15.197175,0,0
"78",2019-05-30,"Nisqually Canyon",46.514,-117.22914,422,0,150,565.511236726787,0.52403313,15.3136861111111,15.3136861111111,0,0
"79",2019-06-03,"Nisqually Canyon",46.514,-117.22914,422,0,154,628.172867431742,0.52403313,15.413325,15.413325,0,0
"80",2019-06-07,"Nisqually Canyon",46.514,-117.22914,422,0,158,669.55457845155,0.52403313,15.4949055555556,15.4949055555556,0,0
"81",2019-06-11,"Nisqually Canyon",46.514,-117.22914,422,2,162,718.839069426204,0.52403313,15.5573972222222,15.5573972222222,0.181818181818182,0.181818181818182
"82",2019-06-15,"Nisqually Canyon",46.514,-117.22914,422,0,166,783.92072335672,0.52403313,15.5999861111111,15.5999861111111,0.181818181818182,0
"83",2019-06-19,"Nisqually Canyon",46.514,-117.22914,422,0,170,844.451408462987,0.52403313,15.6220888888889,15.6220888888889,0.181818181818182,0
"84",2019-06-23,"Nisqually Canyon",46.514,-117.22914,422,0,174,888.406408462987,0.52403313,15.6234027777778,15.6234027777778,0.181818181818182,0
"85",2019-06-27,"Nisqually Canyon",46.514,-117.22914,422,9,178,934.336408462987,0.52403313,15.6039111111111,15.6428944444444,1,0.818181818181818
"136",2019-05-10,"Wawawai",46.63789,-117.3744,308,0,130,358.082080454707,0.35019398,14.5999666666667,14.5999666666667,0,0
"137",2019-05-14,"Wawawai",46.63789,-117.3744,308,0,134,409.152680563551,0.35019398,14.7712833333333,14.7712833333333,0,0
"138",2019-05-18,"Wawawai",46.63789,-117.3744,308,0,138,450.442680563551,0.35019398,14.931125,14.931125,0,0
"139",2019-05-22,"Wawawai",46.63789,-117.3744,308,0,142,487.537680563551,0.35019398,15.0781027777778,15.0781027777778,0,0
"140",2019-05-26,"Wawawai",46.63789,-117.3744,308,0,146,532.172680563551,0.35019398,15.2108194444444,15.2108194444444,0,0
"141",2019-05-30,"Wawawai",46.63789,-117.3744,308,0,150,585.247816264519,0.35019398,15.3278972222222,15.3278972222222,0,0
"142",2019-06-03,"Wawawai",46.63789,-117.3744,308,0,154,647.569700453742,0.35019398,15.428025,15.428025,0,0
"143",2019-06-07,"Wawawai",46.63789,-117.3744,308,0,158,690.395938045695,0.35019398,15.5100083333333,15.5100083333333,0,0
"144",2019-06-11,"Wawawai",46.63789,-117.3744,308,0,162,739.918487470155,0.35019398,15.5728138888889,15.5728138888889,0,0
"145",2019-06-15,"Wawawai",46.63789,-117.3744,308,0,166,804.60208297177,0.35019398,15.6156166666667,15.6156166666667,0,0
"146",2019-06-19,"Wawawai",46.63789,-117.3744,308,0,170,865.750700382029,0.35019398,15.6378333333333,15.6378333333333,0,0
"147",2019-06-23,"Wawawai",46.63789,-117.3744,308,0,174,911.530700382029,0.35019398,15.6391527777778,15.6391527777778,0,0
"148",2019-06-27,"Wawawai",46.63789,-117.3744,308,8,178,958.235700382029,0.35019398,15.6195611111111,15.6587444444444,0.222222222222222,0.222222222222222
"149",2019-07-01,"Wawawai",46.63789,-117.3744,308,0,182,1013.3629133466,0.35019398,15.5793277777778,15.6989777777778,0.222222222222222,0
"150",2019-07-05,"Wawawai",46.63789,-117.3744,308,0,186,1071.90586401828,0.35019398,15.5190027777778,15.7593027777778,0.222222222222222,0
"151",2019-07-13,"Wawawai",46.63789,-117.3744,308,1,194,1198.6268881213,0.35019398,15.3414805555556,15.936825,0.25,0.0277777777777778
"152",2019-07-18,"Wawawai",46.63789,-117.3744,308,20,199,1276.55850366232,0.35019398,15.1951972222222,16.0831083333333,0.805555555555556,0.555555555555556
"153",2019-07-22,"Wawawai",46.63789,-117.3744,308,0,203,1335.20771850338,0.35019398,15.0606388888889,16.2176666666667,0.805555555555556,0
"154",2019-07-26,"Wawawai",46.63789,-117.3744,308,3,207,1398.81745673151,0.35019398,14.9119888888889,16.3663166666667,0.888888888888889,0.0833333333333333
"155",2019-07-30,"Wawawai",46.63789,-117.3744,308,4,211,1460.43897416828,0.35019398,14.75065,16.5276555555556,1,0.111111111111111
