"","Date","SiteID","Latitude","Longitude","Elevation..m.","JulianDay","AphidCount","AphidDDS","hidro","New_hidro","CumAphid","CumProps","dl","dlD","PrAphid"
"1",2022-06-01,"alpowa_creek",46.414952,-117.211502,243,152,39,578.514245482671,0.0547183,0.01976436,0.0246523388116308,0.0246523388116308,15.3584888888889,15.3584888888889,0.0246523388116308
"2",2022-06-07,"alpowa_creek",46.414952,-117.211502,243,158,184,658.637704211929,0.0547183,0.01976436,0.140960809102402,0.140960809102402,15.4873833333333,15.4873833333333,0.116308470290771
"3",2022-06-14,"alpowa_creek",46.414952,-117.211502,243,165,179,746.400737112593,0.0547183,0.01976436,0.254108723135272,0.254108723135272,15.5834777777778,15.5834777777778,0.11314791403287
"4",2022-06-23,"alpowa_creek",46.414952,-117.211502,243,174,583,865.898333164057,0.0547183,0.01976436,0.622629582806574,0.622629582806574,15.6155583333333,15.6155583333333,0.368520859671302
"5",2022-06-28,"alpowa_creek",46.414952,-117.211502,243,179,379,945.578682957266,0.0547183,0.01976436,0.862199747155499,0.862199747155499,15.5880361111111,15.6430805555556,0.239570164348925
"6",2022-07-05,"alpowa_creek",46.414952,-117.211502,243,186,218,1054.45001609115,0.0547183,0.01976436,1,1,15.4963111111111,15.7348055555556,0.137800252844501
"7",2022-07-12,"alpowa_creek",46.414952,-117.211502,243,193,0,1176.41274854987,0.0547183,0.01976436,1,1,15.3460333333333,15.8850833333333,0
"8",2022-07-19,"alpowa_creek",46.414952,-117.211502,243,200,0,1297.33756730175,0.0547183,0.01976436,1,1,15.1428555555556,16.0882611111111,0
"9",2022-07-25,"alpowa_creek",46.414952,-117.211502,243,206,0,1402.48386059592,0.0547183,0.01976436,1,1,14.9317972222222,16.2993194444444,0
"10",2022-06-03,"blyton_landing",46.558703,-117.270382,303,154,21,525.877729963396,0.0316411,0.02956829,0.0030461270670148,0.0030461270670148,15.4206666666667,15.4206666666667,0.0030461270670148
"11",2022-06-09,"blyton_landing",46.558703,-117.270382,303,160,85,598.852729963396,0.0316411,0.02956829,0.0153756890049318,0.0153756890049318,15.5362194444444,15.5362194444444,0.012329561937917
"12",2022-06-16,"blyton_landing",46.558703,-117.270382,303,167,399,675.677729963396,0.0316411,0.02956829,0.0732521032782129,0.0732521032782129,15.6152722222222,15.6152722222222,0.0578764142732811
"13",2022-06-23,"blyton_landing",46.558703,-117.270382,303,174,1684,762.042331895824,0.0316411,0.02956829,0.317522483318828,0.317522483318828,15.6312666666667,15.6312666666667,0.244270380040615
